OMRÅDE;ALDER;CIVILSTAND;TID;INDHOLD
Region Hovedstaden;37 år;Gift/separeret;2022K1;11305
Region Hovedstaden;37 år;Ugift;2022K1;10519
Region Hovedstaden;38 år;Fraskilt;2022K1;1671
Region Hovedstaden;38 år;Gift/separeret;2022K1;11542
Region Hovedstaden;38 år;Ugift;2022K1;9638
Region Hovedstaden;39 år;Fraskilt;2022K1;1904
Region Hovedstaden;39 år;Gift/separeret;2022K1;11861
Region Hovedstaden;39 år;Ugift;2022K1;9020
Region Hovedstaden;40 år;Fraskilt;2022K1;2078
Region Hovedstaden;40 år;Gift/separeret;2022K1;12062
Region Hovedstaden;40 år;Ugift;2022K1;8418
Region Hovedstaden;41 år;Fraskilt;2022K1;2486
Region Hovedstaden;41 år;Gift/separeret;2022K1;12774
Region Hovedstaden;41 år;Ugift;2022K1;8427
Region Hovedstaden;42 år;Fraskilt;2022K1;2671
Region Hovedstaden;42 år;Gift/separeret;2022K1;13002
Region Hovedstaden;42 år;Ugift;2022K1;8036
Region Hovedstaden;43 år;Fraskilt;2022K1;3057
Region Hovedstaden;43 år;Gift/separeret;2022K1;13169
Region Hovedstaden;43 år;Ugift;2022K1;7810
Region Hovedstaden;44 år;Fraskilt;2022K1;3240
Region Hovedstaden;44 år;Gift/separeret;2022K1;12900
Region Hovedstaden;44 år;Ugift;2022K1;7171
Region Hovedstaden;45 år;Fraskilt;2022K1;3629
Region Hovedstaden;45 år;Gift/separeret;2022K1;13250
Region Hovedstaden;45 år;Ugift;2022K1;7046
Region Hovedstaden;46 år;Fraskilt;2022K1;4162
Region Hovedstaden;46 år;Gift/separeret;2022K1;14196
Region Hovedstaden;46 år;Ugift;2022K1;7377
Region Hovedstaden;47 år;Fraskilt;2022K1;4361
Region Hovedstaden;47 år;Gift/separeret;2022K1;14433
Region Hovedstaden;47 år;Ugift;2022K1;7035
Region Hovedstaden;48 år;Fraskilt;2022K1;4499
Region Hovedstaden;48 år;Gift/separeret;2022K1;13765
Region Hovedstaden;48 år;Ugift;2022K1;6593
Region Hovedstaden;49 år;Fraskilt;2022K1;4801
Region Hovedstaden;49 år;Gift/separeret;2022K1;14006
Region Hovedstaden;49 år;Ugift;2022K1;6601
Region Hovedstaden;50 år;Fraskilt;2022K1;4771
Region Hovedstaden;50 år;Gift/separeret;2022K1;13773
Region Hovedstaden;50 år;Ugift;2022K1;6152
Region Hovedstaden;51 år;Fraskilt;2022K1;4860
Region Hovedstaden;51 år;Gift/separeret;2022K1;12870
Region Hovedstaden;51 år;Ugift;2022K1;5563
Region Hovedstaden;52 år;Fraskilt;2022K1;4750
Region Hovedstaden;52 år;Gift/separeret;2022K1;12753
Region Hovedstaden;52 år;Ugift;2022K1;5297
Region Hovedstaden;53 år;Fraskilt;2022K1;5166
